Date,Location,MinTemp,MaxTemp,WindDirection,RainToday,RainTomorrow,,,
16-02-2022,Andhra Pradesh,18.8,31.7,WSW,No,No,,,
17-02-2022,Andhra Pradesh,20.9,34.2,ESE,No,No,,,
18-02-2022,Andhra Pradesh,22.2,35.4,ESE,No,No,,,
19-02-2022,Andhra Pradesh,20.6,33,WSW,No,No,,,
20-02-2022,Andhra Pradesh,16.3,24.9,SW,No,No,,,
21-02-2022,Andhra Pradesh,16.8,26.4,SSE,No,No,,,
22-02-2022,Andhra Pradesh,14.5,31.4,WSW,No,No,,,
23-02-2022,Andhra Pradesh,17.3,27.6,SW,No,No,,,
24-02-2022,Andhra Pradesh,13,27.4,E,No,No,,,
25-02-2022,Andhra Pradesh,16.4,32.4,ESE,No,No,,,
26-02-2022,Andhra Pradesh,22.5,38.7,NE,No,No,,,
27-02-2022,Andhra Pradesh,26.3,32.2,SW,No,No,,,
28-02-2022,Andhra Pradesh,14.4,29.5,SSE,No,No,,,
01-03-2022,Andhra Pradesh,15.2,24,W,No,No,,,
02-03-2022,Andhra Pradesh,17.1,28.7,NE,No,Yes,,,
03-03-2022,Andhra Pradesh,20.7,23.8,WSW,Yes,Yes,,,
04-03-2022,Andhra Pradesh,14.1,21.1,WSW,Yes,No,,,
05-03-2022,Andhra Pradesh,13.9,21.3,SW,No,No,,,
06-03-2022,Andhra Pradesh,14.6,22.1,WSW,No,No,,,
07-03-2022,Andhra Pradesh,13.4,24.4,SSE,No,No,,,
08-03-2022,Andhra Pradesh,15,26.9,ESE,No,No,,,
09-03-2022,Andhra Pradesh,15.1,29.6,SSE,No,No,,,
10-03-2022,Andhra Pradesh,15.9,29.4,NNW,No,No,,,
11-03-2022,Andhra Pradesh,17.4,28,NNW,No,No,,,
12-03-2022,Andhra Pradesh,16.9,30.1,WSW,No,No,,,
13-03-2022,Andhra Pradesh,16.9,32.7,W,No,No,,,
14-03-2022,Andhra Pradesh,17.9,22,WSW,No,No,,,
15-03-2022,Andhra Pradesh,15.1,19.8,WSW,No,Yes,,,
16-03-2022,Andhra Pradesh,14.3,20,WSW,Yes,No,,,
17-03-2022,Andhra Pradesh,14.5,22.6,SW,No,No,,,
18-03-2022,Andhra Pradesh,12.2,28.4,NW,No,No,,,
19-03-2022,Andhra Pradesh,16.7,26.1,WSW,No,No,,,
20-03-2022,Andhra Pradesh,12.5,29.8,WSW,No,No,,,
21-03-2022,Andhra Pradesh,16.4,35,NNW,No,No,,,
22-03-2022,Andhra Pradesh,15,22.1,WSW,No,No,,,
23-03-2022,Andhra Pradesh,11.6,24.1,W,No,No,,,
24-03-2022,Andhra Pradesh,14.8,22.8,E,No,Yes,,,
25-03-2022,Andhra Pradesh,16.3,25.6,WSW,Yes,No,,,
26-03-2022,Andhra Pradesh,16.2,24.6,WSW,No,No,,,
27-03-2022,Andhra Pradesh,10.8,23.6,SW,No,No,,,
28-03-2022,Andhra Pradesh,10.2,29.3,WSW,No,No,,,
29-03-2022,Andhra Pradesh,11.4,31.6,SE,No,No,,,
30-03-2022,Andhra Pradesh,15.4,32,SE,No,No,,,
31-03-2022,Andhra Pradesh,20.4,33.1,ESE,No,No,,,
01-04-2022,Andhra Pradesh,19.3,34.1,N,No,No,,,
02-04-2022,Andhra Pradesh,21,33.9,NNW,No,No,,,
03-04-2022,Andhra Pradesh,16.4,21.7,SW,No,No,,,
04-04-2022,Andhra Pradesh,11.8,20.3,SW,No,Yes,,,
05-04-2022,Andhra Pradesh,14.8,21,SW,Yes,No,,,
06-04-2022,Andhra Pradesh,13.8,17.8,SSE,No,No,,,
07-04-2022,Andhra Pradesh,12.5,21.2,SE,No,No,,,
08-04-2022,Andhra Pradesh,11.6,22.6,SSE,No,No,,,
09-04-2022,Andhra Pradesh,10.2,22.3,SW,No,No,,,
10-04-2022,Andhra Pradesh,9.4,22,SW,No,No,,,
11-04-2022,Andhra Pradesh,9.8,25.3,SW,No,No,,,
12-04-2022,Andhra Pradesh,10.5,28.7,NW,No,No,,,
13-04-2022,Andhra Pradesh,11.3,28.5,NNW,No,No,,,
14-04-2022,Andhra Pradesh,14.1,24.9,SW,No,No,,,
15-04-2022,Andhra Pradesh,14.7,18.9,SW,No,No,,,
16-04-2022,Andhra Pradesh,11.5,20.8,W,No,No,,,
17-04-2022,Andhra Pradesh,15,21.7,SW,No,No,,,
18-04-2022,Andhra Pradesh,11.8,22.3,WSW,No,No,,,
19-04-2022,Andhra Pradesh,12.1,22.9,SE,No,No,,,
20-04-2022,Andhra Pradesh,11.4,26.1,SW,No,No,,,
21-04-2022,Andhra Pradesh,14.8,27.4,NNE,No,No,,,
22-04-2022,Andhra Pradesh,14.5,28.5,NE,No,No,,,
23-04-2022,Andhra Pradesh,21.3,22.2,N,No,Yes,,,
24-04-2022,Andhra Pradesh,13.1,17.8,W,Yes,Yes,,,
25-04-2022,Andhra Pradesh,14.4,18.4,W,Yes,Yes,,,
26-04-2022,Andhra Pradesh,9.9,16.7,W,Yes,Yes,,,
27-04-2022,Andhra Pradesh,11.1,19.6,WSW,Yes,Yes,,,
28-04-2022,Andhra Pradesh,8.7,17.8,NNW,Yes,No,,,
29-04-2022,Andhra Pradesh,9.6,20.2,WSW,No,No,,,
30-04-2022,Andhra Pradesh,8.6,19.9,WNW,No,No,,,
01-05-2022,Andhra Pradesh,9.8,17.4,SSE,No,Yes,,,
02-05-2022,Andhra Pradesh,7.9,18.7,SE,Yes,No,,,
03-05-2022,Andhra Pradesh,6.4,18.7,WSW,No,No,,,
04-05-2022,Andhra Pradesh,8.2,18.1,ESE,No,No,,,
05-05-2022,Andhra Pradesh,8.1,18.9,WSW,No,No,,,
06-05-2022,Andhra Pradesh,10.7,18.1,SSW,No,No,,,
07-05-2022,Andhra Pradesh,12.7,18.3,SSE,No,No,,,
08-05-2022,Andhra Pradesh,10.5,17.7,ESE,No,No,,,
09-05-2022,Andhra Pradesh,13.1,17.1,S,No,No,,,
10-05-2022,Andhra Pradesh,12.5,16.8,ENE,No,No,,,
11-05-2022,Andhra Pradesh,7.2,19.8,SSE,No,No,,,
12-05-2022,Andhra Pradesh,8.2,18.8,WSW,No,Yes,,,
13-05-2022,Andhra Pradesh,9.8,16.2,SSW,Yes,Yes,,,
14-05-2022,Andhra Pradesh,11.7,18.5,W,Yes,No,,,
15-05-2022,Andhra Pradesh,13.5,17.5,W,No,No,,,
16-05-2022,Andhra Pradesh,14.6,18.3,W,No,Yes,,,
17-05-2022,Andhra Pradesh,13.7,16.1,NNW,Yes,Yes,,,
18-05-2022,Andhra Pradesh,13,18.6,ESE,Yes,No,,,
19-05-2022,Andhra Pradesh,9.2,18.6,ENE,No,No,,,
20-05-2022,Andhra Pradesh,7.9,19.4,ESE,No,No,,,
21-05-2022,Andhra Pradesh,12.1,22.8,ENE,No,No,,,
22-05-2022,Andhra Pradesh,13.8,22.5,NE,No,No,,,
23-05-2022,Andhra Pradesh,17.4,21.5,NNE,No,Yes,,,
24-05-2022,Andhra Pradesh,14.8,16.4,N,Yes,Yes,,,
25-05-2022,Andhra Pradesh,13.8,17.9,SW,Yes,Yes,,,
26-05-2022,Andhra Pradesh,8.7,17.5,WSW,Yes,No,,,
27-05-2022,Andhra Pradesh,7.3,17.1,W,No,No,,,
28-05-2022,Andhra Pradesh,8.5,15.2,SE,No,No,,,
29-05-2022,Andhra Pradesh,6,13.9,SSE,No,No,,,
30-05-2022,Andhra Pradesh,5.2,16.9,SE,No,No,,,
31-05-2022,Andhra Pradesh,10.2,18.3,E,No,No,,,
01-06-2022,Andhra Pradesh,9.2,16.6,ENE,No,No,,,
02-06-2022,Andhra Pradesh,10.2,16.8,W,No,Yes,,,
03-06-2022,Andhra Pradesh,6.9,17.3,NNW,Yes,No,,,
04-06-2022,Andhra Pradesh,7.2,17.1,N,No,No,,,
05-06-2022,Andhra Pradesh,6.9,17.8,NNE,No,Yes,,,
06-06-2022,Andhra Pradesh,10.5,15.8,N,Yes,Yes,,,
07-06-2022,Andhra Pradesh,9.5,15.9,W,Yes,Yes,,,
08-06-2022,Andhra Pradesh,10.5,14.9,W,Yes,Yes,,,
09-06-2022,Andhra Pradesh,9.1,15.3,W,Yes,No,,,
10-06-2022,Andhra Pradesh,4.7,15,SSW,No,No,,,
11-06-2022,Andhra Pradesh,3.5,15.6,NNW,No,No,,,
12-06-2022,Andhra Pradesh,9.1,13.8,NE,No,Yes,,,
13-06-2022,Andhra Pradesh,8.9,16.3,NNW,Yes,No,,,
14-06-2022,Andhra Pradesh,10.2,11.9,N,No,Yes,,,
15-06-2022,Andhra Pradesh,7,17.1,WSW,Yes,No,,,
16-06-2022,Andhra Pradesh,7.8,17.4,N,No,No,,,
17-06-2022,Andhra Pradesh,6.8,18.2,N,No,No,,,
18-06-2022,Andhra Pradesh,4.5,17.3,NW,No,No,,,
19-06-2022,Andhra Pradesh,6.6,18.7,N,No,No,,,
20-06-2022,Andhra Pradesh,12.7,15.6,N,No,No,,,
21-06-2022,Andhra Pradesh,5,19,NNW,No,No,,,
22-06-2022,Andhra Pradesh,9.5,18,NNW,No,No,,,
23-06-2022,Andhra Pradesh,9.2,14.4,NW,No,Yes,,,
24-06-2022,Andhra Pradesh,8.7,16.2,WNW,Yes,No,,,
25-06-2022,Andhra Pradesh,10.2,16.1,NE,No,Yes,,,
26-06-2022,Andhra Pradesh,11.6,14,NE,Yes,No,,,
27-06-2022,Andhra Pradesh,10.1,16.5,NW,No,No,,,
28-06-2022,Andhra Pradesh,10,17.6,NNW,No,No,,,
29-06-2022,Andhra Pradesh,9.7,19.3,N,No,No,,,
30-06-2022,Andhra Pradesh,12.3,18.8,WNW,No,Yes,,,
01-07-2022,Andhra Pradesh,10.7,15.1,NW,Yes,Yes,,,
02-07-2022,Andhra Pradesh,10.1,14.5,W,Yes,Yes,,,
03-07-2022,Andhra Pradesh,12.1,16,SW,Yes,Yes,,,
04-07-2022,Andhra Pradesh,11.7,16,WSW,Yes,No,,,
05-07-2022,Andhra Pradesh,7.9,15.1,ENE,No,No,,,
06-07-2022,Andhra Pradesh,3.6,13.2,E,No,No,,,
07-07-2022,Andhra Pradesh,2.9,13.7,NNE,No,No,,,
08-07-2022,Andhra Pradesh,7.1,16.1,NNE,No,No,,,
09-07-2022,Andhra Pradesh,5.7,17.8,NNE,No,Yes,,,
10-07-2022,Andhra Pradesh,12.7,15.7,NNE,Yes,Yes,,,
11-07-2022,Andhra Pradesh,12.1,17.4,NNW,Yes,Yes,,,
12-07-2022,Andhra Pradesh,10.8,16,NW,Yes,Yes,,,
13-07-2022,Andhra Pradesh,10.1,14.2,W,Yes,Yes,,,
14-07-2022,Andhra Pradesh,7.1,11.9,NW,Yes,Yes,,,
15-07-2022,Andhra Pradesh,5.1,13.7,SSE,Yes,Yes,,,
16-07-2022,Andhra Pradesh,7.9,15.3,SW,Yes,No,,,
17-07-2022,Andhra Pradesh,7,16,N,No,No,,,
18-07-2022,Andhra Pradesh,9.8,16.2,NNW,No,No,,,
19-07-2022,Andhra Pradesh,10.5,18.6,NNW,No,No,,,
20-07-2022,Andhra Pradesh,12,21.7,NNW,No,No,,,
21-07-2022,Andhra Pradesh,14.5,19.8,NW,No,Yes,,,
22-07-2022,Andhra Pradesh,9.3,14.6,NW,Yes,Yes,,,
23-07-2022,Andhra Pradesh,3.6,15.2,WNW,Yes,No,,,
24-07-2022,Andhra Pradesh,6.1,16.2,NW,No,No,,,
25-07-2022,Andhra Pradesh,8.1,16.9,N,No,No,,,
26-07-2022,Andhra Pradesh,10.3,14.9,WSW,No,Yes,,,
27-07-2022,Andhra Pradesh,10.1,14.7,WNW,Yes,Yes,,,
28-07-2022,Andhra Pradesh,10,15.6,WNW,Yes,Yes,,,
29-07-2022,Andhra Pradesh,10.5,15.6,W,Yes,Yes,,,
30-07-2022,Andhra Pradesh,10.4,15.9,WNW,Yes,Yes,,,
31-07-2022,Andhra Pradesh,9,15.7,SW,Yes,Yes,,,
01-08-2022,Andhra Pradesh,10.4,16.2,NW,Yes,NA,,,
02-08-2022,Andhra Pradesh,7.7,17.6,NNW,NA,No,,,
03-08-2022,Andhra Pradesh,5.8,16.5,SW,No,No,,,
04-08-2022,Andhra Pradesh,10,15.8,NW,No,No,,,
05-08-2022,Andhra Pradesh,8.6,20.2,NNW,No,No,,,
06-08-2022,Andhra Pradesh,9,23,NNW,No,Yes,,,
07-08-2022,Andhra Pradesh,10.9,15.4,WSW,Yes,No,,,
08-08-2022,Andhra Pradesh,3.3,18.1,N,No,No,,,
09-08-2022,Andhra Pradesh,7.4,16.8,NE,No,No,,,
10-08-2022,Andhra Pradesh,12.1,18.4,W,No,No,,,
11-08-2022,Andhra Pradesh,11.3,17.1,W,No,No,,,
12-08-2022,Andhra Pradesh,10.8,17.6,WSW,No,No,,,
13-08-2022,Andhra Pradesh,6.6,18.2,NNW,No,No,,,
14-08-2022,Andhra Pradesh,6.3,22,NNE,No,No,,,
15-08-2022,Andhra Pradesh,14.1,26.7,NNW,No,Yes,,,
16-08-2022,Andhra Pradesh,11.3,16.5,NW,Yes,Yes,,,
17-08-2022,Andhra Pradesh,11.1,17.2,WNW,Yes,No,,,
18-08-2022,Andhra Pradesh,6.8,21.2,NNW,No,No,,,
19-08-2022,Andhra Pradesh,13.8,20.9,NNW,No,No,,,
20-08-2022,Andhra Pradesh,9.8,22.4,N,No,No,,,
21-08-2022,Andhra Pradesh,13.6,15.7,W,No,No,,,
22-08-2022,Andhra Pradesh,7.9,17.4,NNW,No,No,,,
23-08-2022,Andhra Pradesh,8.8,19,NW,No,Yes,,,
24-08-2022,Andhra Pradesh,9.9,14.6,W,Yes,Yes,,,
25-08-2022,Andhra Pradesh,7.7,15.3,W,Yes,Yes,,,
26-08-2022,Andhra Pradesh,10.3,15.6,NW,Yes,No,,,
27-08-2022,Andhra Pradesh,7.9,17.7,WNW,No,No,,,
28-08-2022,Andhra Pradesh,7,22.9,NNW,No,Yes,,,
29-08-2022,Andhra Pradesh,12.9,16.4,WSW,Yes,Yes,,,
30-08-2022,Andhra Pradesh,9.2,15.4,SW,Yes,Yes,,,
31-08-2022,Andhra Pradesh,10.5,17,WNW,Yes,Yes,,,
01-09-2022,Andhra Pradesh,10.9,18,N,Yes,No,,,
02-09-2022,Andhra Pradesh,11.1,21.6,N,No,No,,,
03-09-2022,Andhra Pradesh,10,17.8,W,No,Yes,,,
04-09-2022,Andhra Pradesh,9.4,15.7,WSW,Yes,No,,,
05-09-2022,Andhra Pradesh,11,16.4,NNW,No,No,,,
06-09-2022,Andhra Pradesh,11.3,19.3,NNW,No,Yes,,,
07-09-2022,Andhra Pradesh,11.8,17.5,WNW,Yes,No,,,
08-09-2022,Andhra Pradesh,10,14.8,SW,No,No,,,
09-09-2022,Andhra Pradesh,10.6,15.5,SW,No,No,,,
10-09-2022,Andhra Pradesh,4.8,22.6,NNE,No,No,,,
11-09-2022,Andhra Pradesh,14.2,29.4,NNW,No,No,,,
12-09-2022,Andhra Pradesh,11.9,30.9,N,No,No,,,
13-09-2022,Andhra Pradesh,12.9,18.9,WSW,No,No,,,
14-09-2022,Andhra Pradesh,6.5,16.9,NNW,No,No,,,
15-09-2022,Andhra Pradesh,6,24.4,NE,No,No,,,
16-09-2022,Andhra Pradesh,16.3,26.2,NNE,No,Yes,,,
17-09-2022,Andhra Pradesh,14.2,17.4,SW,Yes,No,,,
18-09-2022,Andhra Pradesh,6.2,22,N,No,NA,,,
19-09-2022,Andhra Pradesh,13.5,18.5,SW,NA,NA,,,
20-09-2022,Andhra Pradesh,8.4,18.9,WSW,NA,No,,,
21-09-2022,Andhra Pradesh,8.1,17.8,E,No,Yes,,,
22-09-2022,Andhra Pradesh,9.9,17.1,NNW,Yes,Yes,,,
23-09-2022,Andhra Pradesh,11.1,16.9,SW,Yes,No,,,
24-09-2022,Andhra Pradesh,12.4,20.4,NW,No,Yes,,,
25-09-2022,Andhra Pradesh,11.8,14.8,W,Yes,Yes,,,
26-09-2022,Andhra Pradesh,8.2,15.2,SW,Yes,Yes,,,
27-09-2022,Andhra Pradesh,9.4,14.8,SW,Yes,No,,,
28-09-2022,Andhra Pradesh,7.2,17.5,N,No,No,,,
29-09-2022,Andhra Pradesh,8.5,23.1,NNW,No,No,,,
30-09-2022,Andhra Pradesh,17.4,26.3,NE,No,No,,,
01-10-2022,Andhra Pradesh,11.7,18.7,SSW,No,No,,,
02-10-2022,Andhra Pradesh,11.5,15.1,SSE,No,No,,,
03-10-2022,Andhra Pradesh,9.6,16.4,WSW,No,No,,,
04-10-2022,Andhra Pradesh,8.5,17.9,WSW,No,No,,,
05-10-2022,Andhra Pradesh,10.8,17.8,SSW,No,No,,,
06-10-2022,Andhra Pradesh,6,18.1,SSE,No,No,,,
07-10-2022,Andhra Pradesh,6.1,16.9,SE,No,No,,,
08-10-2022,Andhra Pradesh,8.2,17.1,SSE,No,No,,,
09-10-2022,Andhra Pradesh,7.9,17.1,ESE,No,No,,,
10-10-2022,Andhra Pradesh,8.3,22.3,NE,No,No,,,
11-10-2022,Andhra Pradesh,15.9,27.6,NW,No,Yes,,,
12-10-2022,Andhra Pradesh,12.3,16.4,WNW,Yes,Yes,,,
13-10-2022,Andhra Pradesh,10.4,16,W,Yes,Yes,,,
14-10-2022,Andhra Pradesh,11.6,16.5,WSW,Yes,No,,,
15-10-2022,Andhra Pradesh,12.1,16.1,WSW,No,Yes,,,
16-10-2022,Andhra Pradesh,9.5,16.2,SW,Yes,No,,,
17-10-2022,Andhra Pradesh,10.4,17.4,WSW,No,No,,,
18-10-2022,Andhra Pradesh,6.1,20.6,SW,No,No,,,
19-10-2022,Andhra Pradesh,8.9,27.7,NW,No,No,,,
20-10-2022,Andhra Pradesh,16.7,30.5,NW,No,No,,,
21-10-2022,Andhra Pradesh,13.1,22.7,SSE,No,No,,,
22-10-2022,Andhra Pradesh,10.8,25.6,SW,No,No,,,
23-10-2022,Andhra Pradesh,11.7,27.4,W,No,No,,,
24-10-2022,Andhra Pradesh,15.6,27.3,SE,No,No,,,
25-10-2022,Andhra Pradesh,11.9,18.1,SSE,No,No,,,
26-10-2022,Andhra Pradesh,9.9,20.4,SE,No,No,,,
27-10-2022,Andhra Pradesh,11.9,26.3,ESE,No,No,,,
28-10-2022,Andhra Pradesh,14.9,30.1,SE,No,No,,,
29-10-2022,Andhra Pradesh,17.4,33.7,SE,No,No,,,
30-10-2022,Andhra Pradesh,20.6,33.1,WNW,No,No,,,
31-10-2022,Andhra Pradesh,16,32.5,SW,No,No,,,
01-11-2022,Andhra Pradesh,16.7,34.9,ESE,No,No,,,
02-11-2022,Andhra Pradesh,22.9,37.9,E,No,No,,,
03-11-2022,Andhra Pradesh,13,20,W,No,No,,,
04-11-2022,Andhra Pradesh,13.3,19.3,W,No,No,,,
05-11-2022,Andhra Pradesh,10.4,20.4,SE,No,No,,,
06-11-2022,Andhra Pradesh,11.9,28.2,SW,No,No,,,
07-11-2022,Andhra Pradesh,18.6,34.4,ESE,No,No,,,
08-11-2022,Andhra Pradesh,25.4,36.7,ESE,No,No,,,
09-11-2022,Andhra Pradesh,24.5,37,ESE,No,No,,,
10-11-2022,Andhra Pradesh,22.9,38.9,SE,No,No,,,
11-11-2022,Andhra Pradesh,23.7,39.2,WSW,No,No,,,
12-11-2022,Andhra Pradesh,24.5,39.2,SSE,No,No,,,
13-11-2022,Andhra Pradesh,21.9,38.7,ESE,No,No,,,
14-11-2022,Andhra Pradesh,23.3,39.5,SW,No,No,,,
15-11-2022,Andhra Pradesh,20.9,39.4,SW,No,No,,,
16-11-2022,Andhra Pradesh,22.8,31.9,SSW,No,No,,,
17-11-2022,Andhra Pradesh,15.5,29,NW,No,No,,,
18-11-2022,Andhra Pradesh,19.4,38.9,N,No,No,,,
19-11-2022,Andhra Pradesh,17.6,43,WNW,No,No,,,
20-11-2022,Andhra Pradesh,21.8,28.9,N,No,Yes,,,
21-11-2022,Andhra Pradesh,18.6,23.1,SE,Yes,Yes,,,
22-11-2022,Andhra Pradesh,14.2,21,SW,Yes,No,,,
23-11-2022,Andhra Pradesh,11.2,23.2,SW,No,No,,,
24-11-2022,Andhra Pradesh,11.2,26.8,SSE,No,No,,,
25-11-2022,Andhra Pradesh,16.6,32,SSE,No,Yes,,,
26-11-2022,Andhra Pradesh,18.6,27.9,W,Yes,No,,,
27-11-2022,Andhra Pradesh,18.9,32.4,W,No,Yes,,,
28-11-2022,Andhra Pradesh,13.2,20.3,WNW,Yes,Yes,,,
29-11-2022,Andhra Pradesh,13.8,20.8,SW,Yes,No,,,
30-11-2022,Andhra Pradesh,13.1,22.4,SSE,No,No,,,
01-12-2022,Andhra Pradesh,12.7,26.1,WSW,No,No,,,
02-12-2022,Andhra Pradesh,13.7,32.9,N,No,No,,,
03-12-2022,Andhra Pradesh,17.9,22.1,SSW,No,No,,,
04-12-2022,Andhra Pradesh,10.6,21.9,WSW,No,No,,,
05-12-2022,Andhra Pradesh,12.2,21.8,WSW,No,No,,,
06-12-2022,Andhra Pradesh,12.3,25.8,WSW,No,No,,,
07-12-2022,Andhra Pradesh,14.1,28.1,SSE,No,Yes,,,
08-12-2022,Andhra Pradesh,14,20.7,WSW,Yes,No,,,
09-12-2022,Andhra Pradesh,10.3,23,NNW,No,Yes,,,
10-12-2022,Andhra Pradesh,14.8,19.4,WSW,Yes,Yes,,,
11-12-2022,Andhra Pradesh,11.6,21.2,SSW,Yes,No,,,
12-12-2022,Andhra Pradesh,14,22.7,SW,No,No,,,
13-12-2022,Andhra Pradesh,12.6,26.2,SSE,No,No,,,
14-12-2022,Andhra Pradesh,14.5,31.3,ESE,No,No,,,
15-12-2022,Andhra Pradesh,21.1,38.2,WSW,No,No,,,
16-12-2022,Andhra Pradesh,21.6,40.8,NNW,No,Yes,,,
17-12-2022,Andhra Pradesh,19.9,21.5,W,Yes,No,,,
18-12-2022,Andhra Pradesh,11.6,22.2,SW,No,No,,,
19-12-2022,Andhra Pradesh,16.3,25,WSW,No,No,,,
20-12-2022,Andhra Pradesh,13,29.8,W,No,No,,,
21-12-2022,Andhra Pradesh,16,30.9,SW,No,No,,,
22-12-2022,Andhra Pradesh,15.6,37.2,WSW,No,No,,,
23-12-2022,Andhra Pradesh,24.4,38.3,NW,No,No,,,
24-12-2022,Andhra Pradesh,21.7,24.8,WSW,No,No,,,
25-12-2022,Andhra Pradesh,14.2,23.8,S,No,No,,,
26-12-2022,Andhra Pradesh,13,27.9,W,No,No,,,
27-12-2022,Andhra Pradesh,15.6,29.8,SW,No,No,,,
28-12-2022,Andhra Pradesh,15.6,33.9,WSW,No,No,,,
29-12-2022,Andhra Pradesh,19.1,35.6,W,No,No,,,
30-12-2022,Andhra Pradesh,22.2,39.5,SW,No,No,,,
31-12-2022,Andhra Pradesh,26.7,41.6,W,No,No,,,
01-01-2023,Andhra Pradesh,17.6,28.1,WSW,No,No,,,
02-01-2023,Andhra Pradesh,16.5,23.4,WSW,No,No,,,
03-01-2023,Andhra Pradesh,15.2,25.2,WSW,No,No,,,
04-01-2023,Andhra Pradesh,14.1,31.3,WSW,No,No,,,
05-01-2023,Andhra Pradesh,15.1,32,SSE,No,No,,,
06-01-2023,Andhra Pradesh,15.7,33.6,SSE,No,No,,,
07-01-2023,Andhra Pradesh,16.6,35.1,ESE,No,No,,,
08-01-2023,Andhra Pradesh,26.7,41,NNW,No,No,,,
09-01-2023,Andhra Pradesh,21.6,41.3,ESE,No,No,,,
10-01-2023,Andhra Pradesh,25.6,42,SE,No,No,,,
11-01-2023,Andhra Pradesh,28.9,42.8,N,No,Yes,,,
12-01-2023,Andhra Pradesh,20.7,22.9,SW,Yes,Yes,,,
13-01-2023,Andhra Pradesh,14.4,25.6,SE,Yes,No,,,
14-01-2023,Andhra Pradesh,14,27.7,WSW,No,No,,,
15-01-2023,Andhra Pradesh,15.1,31.8,W,No,No,,,
16-01-2023,Andhra Pradesh,17.4,25,SSW,No,No,,,
17-01-2023,Andhra Pradesh,15.6,22.3,SW,No,No,,,
18-01-2023,Andhra Pradesh,14.3,22.4,WSW,No,No,,,
19-01-2023,Andhra Pradesh,11.2,26.8,W,No,No,,,
20-01-2023,Andhra Pradesh,15.5,32.1,WSW,No,No,,,
21-01-2023,Andhra Pradesh,22,40.2,WNW,No,No,,,
22-01-2023,Andhra Pradesh,28.6,33.6,SW,No,No,,,
23-01-2023,Andhra Pradesh,17.6,27.7,W,No,No,,,
24-01-2023,Andhra Pradesh,14.8,30.2,WSW,No,No,,,
